Admin Status,VPN Access ID,Alive,Site Id,Nickname,Site Name,Region,Product,Bandwidth
220,1255,Up,80224793,491,VOSSESTRAND HANDEL AS - 7080001454265 Joker Vossestrand MYRKDALSVEGEN 3 5713 VOSSESTRAND 5713 VOSSESTRAND,VOSS,NC MANAGED VPN ACCESS,100000
221,1256,Up,80224802,15624,NORGESGRUPPEN SPAR MIDT-NORGE AS - 7080001362522 SPAR Melhus RÅDHUSVEGEN 7 7224 MELHUS 7224 MELHUS,MELHUS,NC MANAGED VPN ACCESS,100000
222,1257,Up,80224814,4974,BLOMSTERDALEN MATSENTER AS - 7080001152161 SPAR Blomsterdalen LILANDSVEGEN 3 5258 BLOMSTERDALEN 5258 BLOMSTERDALEN,BERGEN,NC MANAGED VPN ACCESS,100000
223,1258,Up,80224906,1564,NG KIWI OSLO AKERSHUS AS - 7080001096861 Kiwi 341 Sandvika SANDVIKSVEIEN 163 1337 SANDVIKA 1337 SANDVIKA,BÆRUM,NC MANAGED VPN ACCESS,100000
224,1259,Up,80224598,2156,VIPPS AS - 7080000643059 Kiwi 023 Harestua FURUVEIEN 2 2343 HARESTUA 2343 HARESTUA,nan,NC MANAGED VPN ACCESS,100000
225,1260,Up,80224982,1429,NG MENY BUSKERUD AS - 7080000951024 MENY Brakerøya BRANDTENBORGGATA 1 3012 DRAMMEN 3012 DRAMMEN,DRAMMEN,NC MANAGED VPN ACCESS,100000
226,1261,Up,80224985,2018,NG MENY ØSTLANDET AS - 7080001097783 MENY Stovner STOVNER SENTER 3 0985 OSLO 0985 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
227,1262,Up,80225033,1938,NG MENY ØST AS - 7080000543441 MENY Manglerud PLOGVEIEN 6 0679 OSLO 0679 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
228,1263,Up,80225035,178,NG MENY ØST AS - 7080000005796 MENY Røa VÆKERØVEIEN 205A 0751 OSLO 0751 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
229,1264,Up,80225069,120,ARVE GRAN AS - 7080000004119 MENY Revetal KÅPEVEIEN 5 3174 REVETAL 3174 REVETAL,TØNSBERG,NC MANAGED VPN ACCESS,100000
230,1265,Up,80225103,15902,GEILO HANDELSLAG SA - 7080000003976 SPAR Geilo KYRKJEVEGEN 18A 3580 GEILO 3580 GEILO,HOL,NC MANAGED VPN ACCESS,100000
231,1266,Up,80225108,1153,NG KIWI OSLO AKERSHUS AS - 7080000035519 Kiwi 311 Stabekk GAMLE RINGERIKSVEI 9 1368 STABEKK 1368 STABEKK,BÆRUM,NC MANAGED VPN ACCESS,100000
232,1267,Up,80225130,1410,NG KIWI OSLO AKERSHUS AS - 7080001113421 Kiwi 531 Lindeberg JERIKOVEIEN 3 1067 OSLO 1067 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
233,1268,Up,80225727,4403,NG KIWI OSLO AKERSHUS AS - 7080001081546 Kiwi 321 Meierigården GARDERMOVEGEN 30E 2050 JESSHEIM 2050 JESSHEIM,ULLENSAKER,NC MANAGED VPN ACCESS,100000
